hsn8,description,category,rate,aliases,source
02021000,CARCASES AND HALF-CARCASES,chapter_02,,,gst_official_hsn_mstr
02022000,"OTHER CUTS, WITH BONE IN",chapter_02,,,gst_official_hsn_mstr
02023000,BONELESS,chapter_02,,,gst_official_hsn_mstr
02031100,CARCASES AND HALF-CARCASES,chapter_02,,,gst_official_hsn_mstr
02031200,"HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN",chapter_02,,,gst_official_hsn_mstr
02031900,OTHER,chapter_02,,,gst_official_hsn_mstr
02032100,CARCASES AND HALF-CARCASES,chapter_02,,,gst_official_hsn_mstr
02032200,"HAMS, SHOULDERS AND CUTS THEREOF OF , WITH BONE IN",chapter_02,,,gst_official_hsn_mstr
02032900,OTHER,chapter_02,,,gst_official_hsn_mstr
02041000,"CARCASSES AND HALF-CARCASSES OF LAMB, FRESH OR CHILLED",chapter_02,,,gst_official_hsn_mstr
02042100,CARCASSES AND HALF-CARCASSES,chapter_02,,,gst_official_hsn_mstr
02042200,OTHER CUTS WITH BONE IN,chapter_02,,,gst_official_hsn_mstr
02042300,BONELESS,chapter_02,,,gst_official_hsn_mstr
02043000,"CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN",chapter_02,,,gst_official_hsn_mstr
02044100,CARCASSES AND HALF-CARCASSES,chapter_02,,,gst_official_hsn_mstr
02044200,OTHER CUTS WITH BONE IN,chapter_02,,,gst_official_hsn_mstr
02044300,BONELESS,chapter_02,,,gst_official_hsn_mstr
02045000,MEAT OF GOATS,chapter_02,,,gst_official_hsn_mstr
02050000,"MEAT OF HORSES, ASSES, MULES OR HINNES, FRESH, CHILLED OR FROZEN",chapter_02,,,gst_official_hsn_mstr
02061000,"OF BOVINE ANIMALS, FRESH OR CHILLED",chapter_02,,,gst_official_hsn_mstr
02062100,TONGUES,chapter_02,,,gst_official_hsn_mstr
02062200,LIVERS,chapter_02,,,gst_official_hsn_mstr
02062900,OTHER,chapter_02,,,gst_official_hsn_mstr
02063000,"OF SWINE, FRESH OR CHILLED",chapter_02,,,gst_official_hsn_mstr
02064100,LIVERS,chapter_02,,,gst_official_hsn_mstr
02064900,OTHER,chapter_02,,,gst_official_hsn_mstr
02068010,OF SHEEP OR GOATS,chapter_02,,,gst_official_hsn_mstr
02068090,OTHER,chapter_02,,,gst_official_hsn_mstr
02069010,OF SHEEP OR GOATS,chapter_02,,,gst_official_hsn_mstr
02069090,OTHER,chapter_02,,,gst_official_hsn_mstr
02071100,"NOT CUT IN PIECES, FRESH OR CHILLED",chapter_02,,,gst_official_hsn_mstr
02071200,"NOT CUT IN PIECES, FROZEN",chapter_02,,,gst_official_hsn_mstr
02071300,"CUTS AND OFFAL, FRESH OR CHILLED",chapter_02,,,gst_official_hsn_mstr
