hsn8,description,category,aliases
19051000,UNIBIC CHOCO NUT COOKIES 75GM,Food & Beverages,
07104000,ORKID SWEET N CRISP 150G 117,chapter_07,
19051000,UNIBIC OATMEAL DIGESTIVE COOKIES 150G RS 40,Food & Beverages,
19051000,UNIBIC CHOCO CHIPS COOKIES 75GM,Food & Beverages,
40029920,GUM ON 117,chapter_40,
21061000,AJWA MURUKKU RS35 117,Food & Beverages,
21061000,AJWA ANDHRA MURUKKU 150G 117,Food & Beverages,
62104080,KOZHIKODENS SPECIAL PALAK MURUKU 150 GM RS 35 117,chapter_62,
19051000,WINKIES NOVO CHOCO CHIP MUFFINS 70 GM RS 20 117,Food & Beverages,
21061000,AJWA KERALA SPL MURUKKU 150G 117,Food & Beverages,
19051000,ELITE ORIGINAL RUSK 160G RS 20 177,Food & Beverages,
20095000,POPCON TOMATO CHILLI 30GM 117,chapter_20,
22021010,KNORR CLASSIC THICK TOMATO SOUP RS55 117,Food & Beverages,
96180000,LAYS 35,chapter_96,
17041000,NJOY GINGER CANDY 80GM,Food & Beverages,
22029010,KNORR CLASSIC VEGETABLE SOUP RS 55 117,Food & Beverages,
17041000,DIARYMILK CHOCO F&N 80G RS 89 217,Food & Beverages,
21061000,DEV POPCORN 50G 217,Food & Beverages,
21061000,DEV PAKKAVADA 217,Food & Beverages,
21061000,DEV CORN MIXTURE RS 40 217,Food & Beverages,
21013010,DEV ROASTED PEANUT 217,chapter_21,
21061000,DEV  TAPIOCA CHIPS..,Food & Beverages,
76151021,DEV TAPIOCA STICK 175G,chapter_76,
21061000,DEV MIXTURE 200G 217,Food & Beverages,
21061000,DEV CHIPS 175g  217,Food & Beverages,
19051000,ELITE PLUM DELIGHT CAKE 330G RS 90 217,Food & Beverages,
17041000,ALMELA MILK ECLAIRS 750GM 217,Food & Beverages,
17041000,SOLANO  CANDY RS 600,Food & Beverages,
17041000,LONDONDERRY LACTO BONBON RS 50 217,Food & Beverages,
30021400,ORBIT MIXED FRUIT FLAVOUR  Rs.5 217,chapter_30,
48023000,WINKIES SWISS ROLL STRAWBERRY Rs.60 217,chapter_48,
17049020,PLR SWEETS PEANUT CANDY Rs.35 217,Food & Beverages,
21061000,SUPREME FRYMES  RS 25 217,Food & Beverages,
33041000,BINGO YUMITOS CREAM & ONION RS 20 217,Cosmetics,
21069020,BINGO YUMITOS MASALA REMIX RS 20 217,chapter_21,
17041000,VIVO CLASSIC ECLAIRS RS 375 217,Food & Beverages,
48023000,RICHEESE ROLLS RS 5 217,chapter_48,
19051000,ELITE VANILA CUP CAKE 170G 217,Food & Beverages,
19051000,RICHEESE NABATI WAFER RS10 217,Food & Beverages,
10062000,BISMI RICE UNDAI RS 30 217,Agricultural Products,
17041000,DERBY ECLAIRS 665G RS166 217,Food & Beverages,
19051000,NINO ABCD BISCUIT 170GM RS30,Food & Beverages,
22021010,NINO TEA PUPS170GM RS30,Food & Beverages,
19051000,NINO SALT BISCUIT 170GM RS30,Food & Beverages,
21061000,NINO KUZHAL 170GM RS30,Food & Beverages,
32041961,NINO YELLOW SEVA170GM RS30,chapter_32,
71171100,NINO CHIKLI RING 170GM RS30,Accessories,
84439010,NINO JET RING170GM RS30,chapter_84,
19051000,NINO NC BISCUIT 170GM RS30,Food & Beverages,
19051000,NINO ORANG BISCUIT 170GM RS30,Food & Beverages,
17041000,LS GIFTPACK CHOCOLATE 20PC RS120,Food & Beverages,
08045020,NINO PINEAPPLE STRIKE 170GM,chapter_08,
32151110,CAMLIN P.M INK BLUE RS 25,Stationery,
90171000,CAMLIN SCALE 15CM RS 5,Stationery,
49111010,PICTURE CHART STICKER RS 5,Printed Material,
39241010,FOOD COVER 14,Household Articles,
48211010,PAPER TAG SMALL 20 PCS RS 10,Paper Articles,
39241010,STAR DUST PAN,Household Articles,
48171000,ENVELOP PINK CARD RS 1,Paper Articles,
39241010,MULTY TRAY 222,Household Articles,
96091000,KORES DUSTLESS WHITE CHALK  RS 55,Stationery,
57050011,FLOOR MAT KARMAT   RS 190,Floor Coverings,
39241010,FABI SOAP BOX,Household Articles,
96031000,PAZHAKAZTHI WITH PLASTIC HAND RS 55,Household Articles,
17041000,SUNFEAST DREAM CREAM CHOCO VANILA RS 10,Food & Beverages,
48171000,ENVELOP BROWN 11*5 RS 1.50,Paper Articles,
30021400,ORBIT MIXED FRUIT FLAVOUR  RS.5,chapter_30,
39241010,CLEAN PLUS 180 SMALL,Household Articles,
95042000,CARROMS STRIKER PRINTED RS 20,Sports Goods,
35061000,M-SEAL REGULAR EPOXY COMPOUND 40G RS 15,Chemical Products,
22021010,7UP LEMON 600ML RS 35 217,Food & Beverages,
71171100,RING FANCY COLOR RS 12,Accessories,
96151100,HAIR BAND FLOWER BLACK & WHITE RS  40,Accessories,
10062000,RICE PONNI  BRAND,Agricultural Products,
71171100,STUD FANCY COLOR MIXING PEARL RS 8,Accessories,
10062000,RICE CHAMBA PACHARI,Agricultural Products,
10062000,RICE BIRIYANI VENUS,Agricultural Products,
10062000,RICE DOPPI 1ST,Agricultural Products,
10062000,RICE DOPPI 2ND,Agricultural Products,
08011100,COCONUT,Agricultural Products,
10062000,RICE SUREKHA,Agricultural Products,
04070090,EGG,Animal Products,
10062000,RICE CHENKALPATTU,Agricultural Products,
71171100,BUTTONS SMALL RS 6,Accessories,
10062000,RICE JAYA,Agricultural Products,
17011200,SUGAR,Agricultural Products,
